Sample Index,Amplitude
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,-3.0517578e-05
25,-3.0517578e-05
26,-6.1035156e-05
27,-9.1552734e-05
28,-0.00015258789
29,-0.00021362305
30,-0.00030517578
31,-0.00045776367
32,-0.00061035156
33,-0.00088500977
34,-0.0011901855
35,-0.0016174316
36,-0.0021362305
37,-0.0027770996
38,-0.0035705566
39,-0.0046081543
40,-0.0057678223
41,-0.0072021484
42,-0.007385254
43,-0.0076293945
44,-0.0077209473
45,-0.007659912
46,-0.0072631836
47,-0.0067443848
48,-0.0057373047
49,-0.0042419434
50,-0.0022583008
51,3.0517578e-05
52,0.0032348633
53,0.0064697266
54,0.009765625
55,0.0126953125
56,0.015777588
57,0.018920898
58,0.021606445
59,0.024505615
60,0.026885986
61,0.028900146
62,0.031188965
63,0.033233643
64,0.03564453
65,0.03778076
66,0.03967285
67,0.04168701
68,0.043792725
69,0.04574585
70,0.04763794
71,0.049438477
72,0.051361084
73,0.05319214
74,0.055389404
75,0.057617188
76,0.059570312
77,0.061645508
78,0.06402588
79,0.06613159
80,0.067993164
81,0.069488525
82,0.07092285
83,0.07244873
84,0.07388306
85,0.07467651
86,0.07562256
87,0.07659912
88,0.07696533
89,0.077056885
90,0.077301025
91,0.077545166
92,0.07733154
93,0.07672119
94,0.075408936
95,0.0748291
96,0.07449341
97,0.07336426
98,0.07159424
99,0.06970215
100,0.067840576
101,0.06542969
102,0.06262207
103,0.059906006
104,0.057281494
105,0.05368042
106,0.05041504
107,0.047302246
108,0.043060303
109,0.038726807
110,0.034423828
111,0.030578613
112,0.026550293
113,0.02243042
114,0.018676758
115,0.01461792
116,0.009643555
117,0.005004883
118,0.0008239746
119,-0.0027160645
120,-0.0058288574
121,-0.009063721
122,-0.012817383
123,-0.016540527
124,-0.019439697
125,-0.022125244
126,-0.024414062
127,-0.026031494
128,-0.028045654
129,-0.029907227
130,-0.030914307
131,-0.032348633
132,-0.033569336
133,-0.034606934
134,-0.03567505
135,-0.03652954
136,-0.03656006
137,-0.036468506
138,-0.037261963
139,-0.037963867
140,-0.038269043
141,-0.0385437
142,-0.039520264
143,-0.040527344
144,-0.041290283
145,-0.04196167
146,-0.043395996
147,-0.045562744
148,-0.047698975
149,-0.05001831
150,-0.052001953
151,-0.054138184
152,-0.056793213
153,-0.059936523
154,-0.06326294
155,-0.06695557
156,-0.07015991
157,-0.07348633
158,-0.07647705
159,-0.07925415
160,-0.08276367
161,-0.085754395
162,-0.08773804
163,-0.08920288
164,-0.09024048
165,-0.091278076
166,-0.091918945
167,-0.09173584
168,-0.09060669
169,-0.08920288
170,-0.0871582
171,-0.08480835
172,-0.082855225
173,-0.08004761
174,-0.076416016
175,-0.072753906
176,-0.06921387
177,-0.06536865
178,-0.061187744
179,-0.056640625
180,-0.051940918
181,-0.046691895
182,-0.04156494
183,-0.036712646
184,-0.032073975
185,-0.027404785
186,-0.023162842
187,-0.018829346
188,-0.01461792
189,-0.010803223
190,-0.0076904297
191,-0.0047912598
192,-0.0021362305
193,0.0007019043
194,0.003326416
195,0.0056762695
196,0.008087158
197,0.009918213
198,0.011932373
199,0.013885498
200,0.015777588
201,0.017700195
202,0.019683838
203,0.021270752
204,0.022766113
205,0.02456665
206,0.02609253
207,0.028137207
208,0.029968262
209,0.031707764
210,0.032836914
211,0.03387451
212,0.034942627
213,0.03604126
214,0.037231445
215,0.03744507
216,0.037475586
217,0.03778076
218,0.038360596
219,0.03817749
220,0.037506104
221,0.036346436
222,0.035614014
223,0.03491211
224,0.03439331
225,0.033294678
226,0.031829834
227,0.02999878
228,0.028503418
229,0.027282715
230,0.026275635
231,0.025268555
232,0.024139404
233,0.022735596
234,0.0211792
235,0.019683838
236,0.018615723
237,0.017852783
238,0.016723633
239,0.015899658
240,0.015319824
241,0.014801025
242,0.014770508
243,0.015075684
244,0.015258789
245,0.015991211
246,0.016937256
247,0.017700195
248,0.018676758
249,0.019897461
250,0.020751953
251,0.021728516
252,0.023071289
253,0.02444458
254,0.025604248
255,0.026641846
256,0.027954102
257,0.02923584
258,0.030426025
259,0.031921387
260,0.033447266
261,0.03479004
262,0.035614014
263,0.03640747
264,0.036743164
265,0.037139893
266,0.03741455
267,0.037750244
268,0.037475586
269,0.03692627
270,0.03640747
271,0.035888672
272,0.035339355
273,0.03466797
274,0.03390503
275,0.032836914
276,0.031585693
277,0.029937744
278,0.028167725
279,0.026153564
280,0.023895264
281,0.021484375
282,0.018829346
283,0.015625
284,0.012298584
285,0.008850098
286,0.005554199
287,0.0020446777
288,-0.0016174316
289,-0.005432129
290,-0.009338379
291,-0.013122559
292,-0.016784668
293,-0.020446777
294,-0.023925781
295,-0.027404785
296,-0.030914307
297,-0.03427124
298,-0.037139893
299,-0.03970337
300,-0.0423584
301,-0.044647217
302,-0.04663086
303,-0.048217773
304,-0.04916382
305,-0.049987793
306,-0.050628662
307,-0.050872803
308,-0.050476074
309,-0.0496521
310,-0.048980713
311,-0.048034668
312,-0.046691895
313,-0.045166016
314,-0.04321289
315,-0.041229248
316,-0.03881836
317,-0.036499023
318,-0.034301758
319,-0.03253174
320,-0.030456543
321,-0.027954102
322,-0.0256958
323,-0.023406982
324,-0.021331787
325,-0.019561768
326,-0.0178833
327,-0.015838623
328,-0.013946533
329,-0.012176514
330,-0.010559082
331,-0.008728027
332,-0.006652832
333,-0.005004883
334,-0.003540039
335,-0.0018310547
336,-3.0517578e-05
337,0.0016174316
338,0.003479004
339,0.005218506
340,0.0069885254
341,0.008605957
342,0.009887695
343,0.01071167
344,0.011627197
345,0.012573242
346,0.0132751465
347,0.013671875
348,0.013519287
349,0.013427734
350,0.013183594
351,0.013397217
352,0.013183594
353,0.0128479
354,0.01260376
355,0.012329102
356,0.011962891
357,0.011474609
358,0.011047363
359,0.010803223
360,0.010009766
361,0.009246826
362,0.008605957
363,0.0078125
364,0.0072021484
365,0.0067443848
366,0.006378174
367,0.005859375
368,0.005126953
369,0.004211426
370,0.0035095215
371,0.0026550293
372,0.0017089844
373,0.00064086914
374,-0.0006713867
375,-0.0022583008
376,-0.004119873
377,-0.006134033
378,-0.008239746
379,-0.010406494
380,-0.012939453
381,-0.016021729
382,-0.018981934
383,-0.021911621
384,-0.024505615
385,-0.02734375
386,-0.030151367
387,-0.032470703
388,-0.034606934
389,-0.036743164
390,-0.0390625
391,-0.040985107
392,-0.04257202
393,-0.043426514
394,-0.043792725
395,-0.044769287
396,-0.045074463
397,-0.04498291
398,-0.044555664
399,-0.044006348
400,-0.042663574
401,-0.040924072
402,-0.0390625
403,-0.036712646
