expected, result, bool
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
-0.000016, -0.000016, 1
-0.000016, -0.000016, 1
-0.000032, -0.000032, 1
-0.000048, -0.000048, 1
-0.000080, -0.000080, 1
-0.000111, -0.000112, 1
-0.000159, -0.000159, 1
-0.000239, -0.000239, 1
-0.000319, -0.000319, 1
-0.000462, -0.000462, 1
-0.000621, -0.000621, 1
-0.000844, -0.000844, 1
-0.001115, -0.001115, 1
-0.001450, -0.001450, 1
-0.001864, -0.001864, 1
-0.002406, -0.002406, 1
-0.003011, -0.003011, 1
-0.003760, -0.003760, 1
-0.003855, -0.003855, 1
-0.003983, -0.003983, 1
-0.004030, -0.004030, 1
-0.003999, -0.003998, 1
-0.003791, -0.003792, 1
-0.003521, -0.003520, 1
-0.002995, -0.002995, 1
-0.002214, -0.002214, 1
-0.001179, -0.001179, 1
0.000016, 0.000016, 1
0.001689, 0.001689, 1
0.003377, 0.003377, 1
0.005098, 0.005098, 1
0.006627, 0.006627, 1
0.008236, 0.008236, 1
0.009877, 0.009877, 1
0.011279, 0.011279, 1
0.012792, 0.012792, 1
0.014035, 0.014035, 1
0.015086, 0.015086, 1
0.016281, 0.016281, 1
0.017348, 0.017348, 1
0.018607, 0.018607, 1
0.019722, 0.019722, 1
0.020710, 0.020710, 1
0.021761, 0.021761, 1
0.022860, 0.022860, 1
0.023880, 0.023880, 1
0.024867, 0.024867, 1
0.025807, 0.025807, 1
0.026811, 0.026811, 1
0.027767, 0.027767, 1
